Day,Prediction,Actual,Prev_Actual,Signal,Action,Portfolio Value
62,312.27652,0.63305527,0.6287688,buy,hold,102.0734532546012
63,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
64,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
65,312.2808,0.63734174,0.63305527,buy,hold,102.76460111468025
66,312.2808,0.6244823,0.63734174,buy,hold,100.6911526972611
67,312.27652,0.6201958,0.6244823,buy,hold,100.0
68,312.26794,0.6201958,0.6201958,buy,hold,100.0
69,312.26794,0.6201958,0.6201958,buy,hold,100.0
70,312.26367,0.6244823,0.6201958,buy,hold,100.6911526972611
71,312.27222,0.6201958,0.6244823,buy,hold,100.0
72,312.26794,0.6201958,0.6201958,buy,hold,100.0
73,312.26794,0.6201958,0.6201958,buy,hold,100.0
74,312.26794,0.6244823,0.6201958,buy,hold,100.6911526972611
75,312.26794,0.6244823,0.6244823,buy,hold,100.6911526972611
76,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
77,312.27222,0.6201958,0.6244823,buy,hold,100.0
78,312.26794,0.6201958,0.6201958,buy,hold,100.0
79,312.26794,0.6201958,0.6201958,buy,hold,100.0
80,312.26794,0.6244823,0.6201958,buy,hold,100.6911526972611
81,312.26794,0.6244823,0.6244823,buy,hold,100.6911526972611
82,312.27222,0.6201958,0.6244823,buy,hold,100.0
83,312.26794,0.61590934,0.6201958,buy,hold,99.308853752315
84,312.26367,0.6201958,0.61590934,buy,hold,100.0
85,312.26794,0.6201958,0.6201958,buy,hold,100.0
86,312.26367,0.6201958,0.6201958,buy,hold,100.0
87,312.26794,0.6244823,0.6201958,buy,hold,100.6911526972611
88,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
89,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
90,312.27222,0.6287688,0.6244823,buy,hold,101.38230539452219
91,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
92,312.27222,0.6244823,0.6287688,buy,hold,100.6911526972611
93,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
94,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
95,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
96,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
97,312.27222,0.6201958,0.6244823,buy,hold,100.0
98,312.27222,0.6201958,0.6201958,buy,hold,100.0
99,312.26794,0.6244823,0.6201958,buy,hold,100.6911526972611
100,312.27222,0.6201958,0.6244823,buy,hold,100.0
101,312.26794,0.6201958,0.6201958,buy,hold,100.0
102,312.26794,0.6201958,0.6201958,buy,hold,100.0
103,312.26794,0.6201958,0.6201958,buy,hold,100.0
104,312.26794,0.6201958,0.6201958,buy,hold,100.0
105,312.26794,0.6244823,0.6201958,buy,hold,100.6911526972611
106,312.26794,0.6244823,0.6244823,buy,hold,100.6911526972611
107,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
108,312.27222,0.6287688,0.6244823,buy,hold,101.38230539452219
109,312.27222,0.6244823,0.6287688,buy,hold,100.6911526972611
110,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
111,312.27222,0.6201958,0.6244823,buy,hold,100.0
112,312.26794,0.6244823,0.6201958,buy,hold,100.6911526972611
113,312.27222,0.6201958,0.6244823,buy,hold,100.0
114,312.26794,0.6201958,0.6201958,buy,hold,100.0
115,312.26794,0.6244823,0.6201958,buy,hold,100.6911526972611
116,312.26794,0.6201958,0.6244823,buy,hold,100.0
117,312.26794,0.6201958,0.6201958,buy,hold,100.0
118,312.26794,0.6201958,0.6201958,buy,hold,100.0
119,312.26794,0.6201958,0.6201958,buy,hold,100.0
120,312.26794,0.6201958,0.6201958,buy,hold,100.0
121,312.26794,0.61162287,0.6201958,buy,hold,98.61770589223597
122,312.26367,0.61590934,0.61162287,buy,hold,99.308853752315
123,312.26367,0.61590934,0.61590934,buy,hold,99.308853752315
124,312.26367,0.6201958,0.61590934,buy,hold,100.0
125,312.26794,0.61590934,0.6201958,buy,hold,99.308853752315
126,312.26367,0.61162287,0.61590934,buy,hold,98.61770589223597
127,312.25937,0.61162287,0.61162287,buy,hold,98.61770589223597
128,312.2551,0.6073364,0.61162287,buy,hold,97.92655803215695
129,312.2551,0.61162287,0.6073364,buy,hold,98.61770589223597
130,312.2551,0.61590934,0.61162287,buy,hold,99.308853752315
131,312.26367,0.61590934,0.61590934,buy,hold,99.308853752315
132,312.26367,0.61590934,0.61590934,buy,hold,99.308853752315
133,312.26367,0.6201958,0.61590934,buy,hold,100.0
134,312.26367,0.6201958,0.6201958,buy,hold,100.0
135,312.26367,0.6201958,0.6201958,buy,hold,100.0
136,312.26367,0.6201958,0.6201958,buy,hold,100.0
137,312.26794,0.6201958,0.6201958,buy,hold,100.0
138,312.26794,0.6201958,0.6201958,buy,hold,100.0
139,312.26794,0.6201958,0.6201958,buy,hold,100.0
140,312.26794,0.6244823,0.6201958,buy,hold,100.6911526972611
141,312.26794,0.6244823,0.6244823,buy,hold,100.6911526972611
142,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
143,312.27222,0.6287688,0.6244823,buy,hold,101.38230539452219
144,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
145,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
146,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
147,312.27222,0.63305527,0.6287688,buy,hold,102.0734532546012
148,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
149,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
150,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
151,312.2808,0.63305527,0.63305527,buy,hold,102.0734532546012
152,312.2808,0.6287688,0.63305527,buy,hold,101.38230539452219
153,312.27222,0.6287688,0.6287688,buy,hold,101.38230539452219
154,312.27652,0.6287688,0.6287688,buy,hold,101.38230539452219
155,312.27222,0.63305527,0.6287688,buy,hold,102.0734532546012
156,312.27652,0.63734174,0.63305527,buy,hold,102.76460111468025
157,312.2808,0.63734174,0.63734174,buy,hold,102.76460111468025
158,312.2808,0.63305527,0.63734174,buy,hold,102.0734532546012
159,312.2808,0.6287688,0.63305527,buy,hold,101.38230539452219
160,312.27222,0.63305527,0.6287688,buy,hold,102.0734532546012
161,312.2808,0.6244823,0.63305527,buy,hold,100.6911526972611
162,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
163,312.27222,0.6287688,0.6244823,buy,hold,101.38230539452219
164,312.27222,0.6244823,0.6287688,buy,hold,100.6911526972611
165,312.27222,0.6244823,0.6244823,buy,hold,100.6911526972611
166,312.27222,0.6287688,0.6244823,buy,hold,101.38230539452219
167,312.27222,0.6244823,0.6287688,buy,hold,100.6911526972611
