Date,High_Price,Low_Price,Avg_Price,Avg_Volume,Price_Change,Volume_Change,price_std,volume_std,Gu,Gl,Nus,Nls
1977-11-23,2.695312976837158,2.566406011581421,2.6332032918930053,892266.6666666666,0.0976569652557373,259200,0.03633163700137113,292281.53330760344,3.364421763141314,2.0402206808338574,11,65
1977-12-01,2.695312976837158,2.53125,2.6117189248402912,888426.6666666666,0.1132810115814209,182400,0.04340858019941503,306603.42456343013,2.7540492422489504,2.466604121586865,13,61
1977-12-08,2.695312976837158,2.53125,2.5988282918930055,859946.6666666666,0.007812023162841797,-25600,0.046004338513869376,300065.3488978616,2.727561712047578,1.8404072560235014,12,64
1977-12-15,2.695312976837158,2.464843988418579,2.5850261926651,954560.0,0.1289060115814209,-188800,0.05683593617077228,384868.1221513102,2.7817553458900672,2.488517473528711,10,64
1977-12-22,2.695312976837158,2.464843988418579,2.565494926770528,910293.3333333334,0.15625,230400,0.06991239678080496,383503.80201625056,3.154240024891617,2.4834266660445605,11,66
1977-12-30,2.683593988418579,2.453125,2.5341147263844808,912426.6666666666,0.2070310115814209,-1030400,0.06064509302726868,408210.343795462,2.7797129027760263,2.0156083716702664,16,65
1978-01-09,2.589843988418579,2.429687976837158,2.5037761608759563,965653.3333333334,0.1210930347442627,-534400,0.0463385298323904,399638.0670602816,2.829608487892444,1.9956646213676719,11,64
1978-01-16,2.589843988418579,2.421875,2.4842448949813845,964053.3333333334,0.1054689884185791,102400,0.04935180443883937,414170.1363993515,3.3566403150558473,2.4441759820305013,12,66
1978-01-23,2.582031011581421,2.375,2.4566407283147176,1036480.0,0.2070310115814209,-96000,0.04606372078383532,475103.1876303839,3.234765315055847,1.8626643568032826,12,65
1978-01-30,2.488281011581421,2.355468988418579,2.430208428700765,1058880.0,0.1171870231628418,-211200,0.04249140290991867,447982.14742754324,2.5871484818904404,2.2232211371853925,11,65
1978-02-06,2.480468988418579,2.355468988418579,2.4166667620340982,1095893.3333333333,0.015625,-889600,0.04002496531703989,429197.3317824744,3.194140315055847,1.9717685821877884,13,66
1978-02-13,2.457031011581421,2.355468988418579,2.4033854961395265,1134080.0,0.09375,73600,0.03290558511474121,387043.20564309455,2.9695672805602813,1.81984847340259,13,66
1978-02-21,2.4375,2.304687976837158,2.382161561648051,1168000.0,0.1171870231628418,697600,0.037998453559194914,447672.78690795024,2.619708690983187,2.2252595230514745,14,65
1978-02-28,2.4375,2.304687976837158,2.371744926770528,1202133.3333333333,0.007812976837158203,-396800,0.03379149252489081,468162.88746055285,3.0722653150558474,1.664257524816703,61,11
1978-03-07,2.546875,2.304687976837158,2.384635559717814,1285333.3333333333,-0.1445319652557373,-240000,0.05586527577211286,736693.086955359,3.0557030480167366,1.8312093290642943,60,10
1978-03-14,2.578125,2.304687976837158,2.4126303593317666,1273066.6666666667,-0.2148439884185791,-2006400,0.07801366177167463,783236.4848909732,3.115465019565594,1.7816722377800227,60,10
1978-03-21,2.664062976837158,2.304687976837158,2.4506511926651,1429226.6666666667,-0.2265629768371582,-889600,0.11071132351149782,806054.6532909255,3.036719369888306,1.731615747444434,57,12
1978-03-29,2.664062976837158,2.304687976837158,2.486979325612386,1488106.6666666667,-0.2421870231628418,-464000,0.12122327382482147,806438.3059684933,3.0265625000000003,1.6850208594024312,56,11
1978-04-05,2.675781011581421,2.328125,2.53619802792867,1527146.6666666667,-0.3476560115814209,-227200,0.10317603956399005,774051.4157979756,3.1078125,1.7032879066476418,57,10
1978-04-12,2.714843988418579,2.390625,2.591536593437195,1585066.6666666667,-0.2890629768371582,-809600,0.08281129178436111,733996.8342191117,3.1734397287157194,1.776054549397121,61,13
1978-04-19,2.714843988418579,2.507812976837158,2.621484462420146,1446080.0,-0.1601560115814209,16000,0.05823213830379616,559601.2609978152,3.371875,2.4355272713863174,52,11
1978-04-26,2.753906011581421,2.550781011581421,2.6539063294728598,1474240.0,-0.140625,576000,0.05310208966045762,508404.7217556582,2.795240020536414,2.4784576073122584,59,10
1978-05-03,2.753906011581421,2.550781011581421,2.6703125635782876,1400960.0,-0.0859370231628418,-598400,0.054044926129354236,479414.3737865016,3.3160153150558473,1.8317600967983618,60,11
1978-05-10,2.753906011581421,2.550781011581421,2.6848958651224772,1380800.0,-0.140625,841600,0.04650694399613177,508779.3533004534,2.9580616233663584,2.538880671160785,11,63
1978-05-17,2.753906011581421,2.628906011581421,2.6930989980697633,1319680.0,0.0546879768371582,400000,0.0319276996411649,502339.6229918423,2.793506173801196,2.5095584084209515,55,12
1978-05-24,2.753906011581421,2.628906011581421,2.6904947996139525,1242560.0,-0.015625,1187200,0.031845181863310604,491650.89492724265,2.8255336476498694,1.9154152760205967,60,10
1978-06-01,2.765625,2.65625,2.7022135972976686,1219200.0,-0.0664060115814209,304000,0.029743506569607184,456419.7946688084,2.8659092634473335,2.5529454900789865,61,10
1978-06-08,2.828125,2.65625,2.71601566473643,1264106.6666666667,-0.078125,-150400,0.04989960217205674,564213.1847848449,3.5140625,1.930493562043113,58,10
1978-06-15,2.828125,2.65625,2.7285156647364297,1231360.0,-0.109375,1299200,0.05849713027120896,561729.9937968726,3.4785153150558474,1.8972375034896412,62,13
1978-06-22,2.835937976837158,2.65625,2.747005295753479,1195306.6666666667,-0.1601569652557373,-745600,0.0641016135147179,547472.3957351219,2.868678658162174,1.913872278091328,58,12
1978-06-29,2.851562976837158,2.667968988418579,2.7733073949813845,1263573.3333333333,-0.109375,-464000,0.05740515991572089,651835.7900540613,2.8564876194903372,1.9333373486103438,62,10
1978-07-07,2.851562976837158,2.671875,2.791145928700765,1253013.3333333333,-0.125,-832000,0.0398457680553436,654110.2109675052,2.9878389513627255,2.598581514025935,13,66
1978-07-14,2.851562976837158,2.699218988418579,2.793619894981384,1292160.0,0.078125,1139200,0.03354145211506389,655521.790374029,2.951307300769723,2.5830008094170553,11,63
1978-07-21,2.851562976837158,2.699218988418579,2.777994894981384,1106346.6666666667,0.0625,1136000,0.04311038918843871,564122.0873811487,2.9613092837893773,2.5566169594991,13,55
1978-07-28,2.867187976837158,2.699218988418579,2.7740886290868123,1131946.6666666667,-0.050781965255737305,-2502400,0.04769940146532922,675076.2734599,3.029233274208882,2.547596704687834,11,58
1978-08-04,2.886718988418579,2.699218988418579,2.782161529858907,1127680.0,0.03125,201600,0.057690504456500626,654993.2594546562,3.214052794816809,2.64303380852506,11,64
1978-08-11,2.886718988418579,2.699218988418579,2.767708396911621,1076480.0,0.0585939884185791,108800,0.05627823443270895,541100.3287682455,2.890092799439563,2.604096962274716,14,51
1978-08-18,2.886718988418579,2.699218988418579,2.7572916984558105,1083626.6666666667,0.03125,230400,0.056947416738351964,574276.3379835669,2.8734581626545666,1.9461367066241286,53,10
1978-08-25,2.886718988418579,2.6875,2.75039066473643,1206720.0,0.027343034744262695,-1232000,0.06118423403364628,713732.5251922049,2.8893519052463295,2.0442600470547023,62,10
1978-09-01,2.886718988418579,2.6875,2.7580729961395263,1290560.0,-0.0859379768371582,-124800,0.060323223145484516,687126.2583372518,3.1115738519025484,2.2385594804468782,13,64
1978-09-11,2.886718988418579,2.6875,2.7464844942092896,1218133.3333333333,0.1914060115814209,585600,0.0596249950457738,574557.1712097116,2.9453129571047985,2.610724657836572,14,65
1978-09-18,2.808593988418579,2.601562976837158,2.7088542938232423,1292266.6666666667,0.1601560115814209,12800,0.04653401016295022,588577.5191866863,2.8826051047571606,2.433219031180189,11,63
1978-09-25,2.808593988418579,2.578125,2.6937501589457193,1406826.6666666667,0.058593034744262695,-905600,0.051767399483338056,687062.1910982889,2.8558425365824123,2.55090372710333,12,63
1978-10-02,2.808593988418579,2.578125,2.679166889190674,1349653.3333333333,0.0546879768371582,2809600,0.05358665261432733,694805.2506766311,2.9395975428336665,2.5529848160697095,13,64
1978-10-09,2.808593988418579,2.578125,2.665494990348816,1170026.6666666667,0.109375,284800,0.05920999907427512,595167.0637284345,3.133133527541087,2.392394165355543,10,66
1978-10-16,2.742187976837158,2.578125,2.649869958559672,1100266.6666666667,0.046875,-300800,0.039868903775598916,610933.9494370178,2.85910536070587,2.451005002906047,10,65
1978-10-23,2.730468988418579,2.578125,2.6481772581736247,1107626.6666666667,-0.0273439884185791,-233600,0.038107066951539335,629007.2391082433,2.900772328310147,2.495326592148938,11,60
1978-10-30,2.738281011581421,2.578125,2.6636720259984332,1021120.0,-0.0859370231628418,2476800,0.04512900059678446,616950.6538138844,2.8257385022171513,2.517790803871212,11,59
1978-11-06,2.75,2.582031011581421,2.6760417938232424,909120.0,0.011718988418579102,-1657600,0.048147825771445975,429393.59839758626,3.3921875,1.9127468177556308,62,18
1978-11-13,2.78125,2.582031011581421,2.691276129086812,962133.3333333334,-0.171875,-726400,0.050323137125007925,420864.3628938223,3.3834589239025545,1.8544893480811144,61,11
1978-11-20,2.78125,2.640625,2.717317795753479,1005120.0,-0.1289060115814209,227200,0.04076936703138383,412624.48019376217,2.8183029970457065,1.904186612585533,60,13
1978-11-28,2.78125,2.660156011581421,2.7316406965255737,1065600.0,-0.0625,-528000,0.03445556709402253,425182.0608017067,2.9557681307297146,2.5563545654957354,15,59
1978-12-05,2.78125,2.660156011581421,2.7408854643503826,1107093.3333333333,0.0195310115814209,-780800,0.029542065038614496,420396.90846113284,2.9296164709656236,2.604639507868739,10,64
1978-12-12,2.78125,2.660156011581421,2.739192795753479,1086826.6666666667,0.078125,329600,0.032789447795216656,380618.19672496076,2.8135877617912555,1.9465495556044008,63,14
1978-12-19,2.78125,2.640625,2.732812595367432,1032640.0,0.03125,-150400,0.0378530137332012,340295.5891574265,3.590234684944153,1.989213857995721,14,66
1978-12-27,2.78125,2.578125,2.714583428700765,1050240.0,0.1835939884185791,-1168000,0.05541325895726242,365804.69030382304,2.9984501140295508,1.9813024139912172,12,66
1979-01-04,2.78125,2.578125,2.683854262034098,1134080.0,0.1679680347442627,-1990400,0.06785960843583583,454461.8510600923,3.498447689789214,2.6260228184150014,13,53
