Date,High_Price,Low_Price,Avg_Price,Avg_Volume,Price_Change,Volume_Change,price_std,volume_std,Gu,Gl,Nus,Nls
1980-03-17,5.537036895751953,5.018518924713135,5.262962849934896,96345.0,-0.2962961196899423,-78975,0.15724007072453497,69668.22124702294,6.620371150970459,3.6823306171929935,56,10
1980-03-24,5.851851940155029,5.018518924713135,5.33209867477417,115245.0,-0.7592587471008301,-531225,0.18254390298921278,117722.96460993378,6.7166670799255375,3.8094464787333795,57,10
1980-03-31,5.851851940155029,5.111111164093018,5.453703594207764,127755.0,-0.6111111640930176,28350,0.21196811302594354,136824.7079547278,7.077777433395386,4.676621852044125,61,12
1980-04-08,5.870369911193848,5.1666669845581055,5.530246798197428,112252.5,-0.42592573165893555,166725,0.22293864573926664,135377.8378487537,6.672729897337377,4.73650193959934,59,15
1980-04-15,5.870369911193848,5.1666669845581055,5.585802396138509,102870.0,-0.462963104248046,6075,0.2371769174101248,132311.7086655599,6.933332920074465,3.886491583612264,59,11
1980-04-22,5.888888835906982,5.222221851348877,5.669135729471843,112320.0,-0.462963104248046,21600,0.20955460167715628,130025.37143002992,6.674750126757469,3.921229643305065,54,10
1980-04-29,6.222221851348877,5.351851940155029,5.786419741312662,114930.0,-0.6666669845581055,-65475,0.16809615057891344,128990.59849461899,6.482539505221098,4.132988900600198,59,10
1980-05-06,6.370369911193848,5.722221851348877,5.894444433848063,125167.5,-0.3888888359069824,-200475,0.1684767231245666,102676.94738210177,6.312133426715512,4.08329968426791,59,11
1980-05-13,6.370369911193848,5.722221851348877,5.903703737258911,139680.0,-0.16666698455810547,-133650,0.16898483336866732,108383.6515458572,6.241491835585594,4.693936893884163,53,10
1980-05-20,6.370369911193848,5.722221851348877,5.929012393951416,178447.5,-0.16666698455810547,-3375,0.15848983681056839,155447.86884637343,6.226059076065925,5.471360133544115,54,10
1980-05-28,6.370369911193848,5.759259223937988,5.958024740219116,197797.5,-0.05555534362792969,45900,0.14252851603885133,165879.93130548912,6.375943103566367,4.367306543537649,61,22
1980-06-04,6.370369911193848,5.759259223937988,6.010493882497152,198607.5,-0.2962965965270996,39150,0.14150845395851286,169745.29056871834,6.662639828373856,5.392522590311094,57,10
1980-06-11,6.648148059844971,5.759259223937988,6.072839530309041,220702.5,-0.11111068725585938,28350,0.20285619974898564,204641.26816401395,6.6679473352708705,5.410435405844691,51,10
1980-06-18,6.648148059844971,5.759259223937988,6.076543251673381,195120.0,-0.18518495559692383,76950,0.2019682178291404,210229.56811624957,6.626075372761939,4.211088251871365,52,15
1980-06-25,6.648148059844971,5.925926208496094,6.117283995946249,168682.5,-0.11111164093017578,252450,0.17360554573231218,203051.61206362763,6.6182514529519665,4.1748172553416465,57,12
1980-07-02,6.648148059844971,5.944444179534912,6.144444497426351,139365.0,-0.11111164093017578,15525,0.15420252035948323,163827.77734349674,6.692576647066123,4.212956425751082,59,14
1980-07-10,6.648148059844971,6.0,6.174691406885783,123030.0,-0.11111116409301758,22275,0.13073620979778033,145893.7126992538,6.715246933330035,5.722409555387648,16,61
1980-07-17,6.648148059844971,6.018518924713135,6.178395128250122,113872.5,0.18518495559692383,-37800,0.1239383816361859,143311.97722734252,8.16111159324646,5.787884951821041,12,63
1980-07-24,6.388888835906982,6.018518924713135,6.1475309530893965,79425.0,-0.037036895751953125,-2025,0.08302882496303297,46888.9530957324,6.53561517712575,5.889989385491587,11,37
